canonical_name,description,display_name,evidence_type,id,kind,name,node_type,page,panel,pattern_id,score,source,status,test_code,text,trust
,,,interpretation,ev_cbc_006686_f1b62b8009,,,Evidence,1272,CBC,,3.55,harrison.pdf,,,"factors associated with a poorer prognosis are shock; young age (infancy), old age, and adolescence; coma; purpura fulminans; dis- seminated intravascular coagulation; thrombocytopenia; leukopenia; absence of meningitis; metabolic acidosis; low plasma concentrations of antithrombin and proteins s and c; high blood levels of pai-1; and a low erythrocyte sedimentation rate or c-reactive protein level. the glasgow meningococcal septicaemia prognostic score (gmsps) performs well and may be clinically useful for severity assessment in meningococcal disease.",1.0
,,,interpretation,ev_cbc_013621_ceb5aabc7a,,,Evidence,2869,CBC,,3.55,harrison.pdf,,,"relapsing polychondritis has also been found to be associated with vexas syndrome (vacuoles, e1 enzyme, x-linked, autoinflammatory, somatic). vexas syndrome should be considered in male patients with relapsing polychondritis who have hematologic abnormalities often in the spectrum of myelodysplastic syndrome, fevers, venous thrombotic events, pulmonary infiltrates, cutaneous lesions, or treat- ment resistant disease. vexas syndrome is strongly suggested by its clinical features and the finding of vacuoles within bone marrow precursor cells. it is proven by genetic testing for myeloid-restricted somatic missense mutations in uba1, the major e1 enzyme that ini- tiates ubiquitylation. ■ ■laboratory findings and diagnostic imaging there are no laboratory features that are diagnostic for relapsing polychondritis. mild leukocytosis and normocytic, normochromic anemia are often present. the erythrocyte sedimentation rate and c-reactive protein are usu- ally elevated. rheumatoid factor and antinuclear antibody tests are occasionally positive in low titers, and complement levels are normal. antibodies to type ii collagen are present in fewer than one-half of patients and are not specific.",1.0
inflammation,,,,condition:inflammation,,inflammation,Condition,,,,,,,,,
,,,interpretation,ev_cbc_013679_1117db094b,,,Evidence,2883,CBC,,3.55,harrison.pdf,,,"laboratory features of fmf attacks are consistent with acute inflammation and include an elevated erythrocyte sedimentation rate, leukocytosis, thrombocytosis (in children), and elevations in c-reactive protein, fibrinogen, haptoglobin, and serum immunoglobulins. transient albuminuria and hematuria may also be seen. amyloidosis before the advent of colchicine prophylaxis, systemic amyloidosis was a common complication of fmf.",1.0
,,,interpretation,ev_cbc_016476_8546d9617c,,,Evidence,3600,CBC,,3.55,harrison.pdf,,,"■ ■hematopoietic system ethanol causes an increase in red blood cell size (mean corpuscular volume [mcv]), which reflects its effects on stem cells. if heavy drinking is accompanied by folic acid deficiency, there can also be hypersegmented neutrophils, reticulocytopenia, and a hyperplastic bone marrow; if malnutrition is present, sideroblastic changes can be observed. chronic heavy drinking can decrease production of white blood cells, decrease granulocyte mobility and adherence, and impair delayed-hypersensitivity responses to novel antigens (with a possible false-negative tuberculin skin test). associated immune deficiencies can contribute to vulnerability toward infections, including hepatitis and hiv, and interfere with their treatment. finally, many individuals with alcohol use disorders have mild thrombocytopenia, which usually resolves within a week of abstinence unless there is hepatic cirrhosis or congestive splenomegaly.",1.0
,,,interpretation,ev_cbc_002968_0593b7fae8,,,Evidence,474,CBC,,3.53,harrison.pdf,,,"microcytic and hypochromic red cells smaller than the nucleus of a lymphocyte associated with marked variation in size (anisocytosis) and shape (poikilocytosis). (from rs hillman et al: hematology in clinical practice, 5th ed.",1.0
,,,interpretation,ev_cbc_004475_49886f98c6,,,Evidence,845,CBC,,3.32,harrison.pdf,,,"assay for jak2 mutations in the presence of a normal arterial oxygen saturation provides an alternative diagnostic approach to erythrocy- tosis when red cell mass and plasma volume determinations are not available; a normal serum erythropoietin level does not exclude the presence of pv, but an elevated erythropoietin level is more consistent with a secondary cause for the erythrocytosis. other laboratory studies that may aid in diagnosis include the red cell count, mean corpuscular volume, and red cell distribution width (rdw), particularly when the hematocrit or hemoglobin levels are less than 60% or 20 g/dl, respectively. only three situations cause micro- cytic erythrocytosis: β-thalassemia trait, hypoxic erythrocytosis, and pv.",1.0
,,,interpretation,ev_cbc_001120_72511d7a91,,,Evidence,587,CBC,,3.54,clinical_hematology.pdf,,,"patients with other myeloproliferative disorders may have normal, low, or high levels. this assay has been largely replaced by the fluorescence in situ hybridization (fish) assay for bcr-abl in peripheral blood neutrophils or cytogenetic analysis of the bone marrow. the availability of highly effective therapy for chronic myelogenous leukemia warrants the use of the more specific, albeit expensive fish assay51 (see chapter 13). performance evaluation of the latest fully automated hematology analyzers in a large, commercial laboratory setting: a 4-way, side-by-side study. visual inspection of blood films vs automated analysis of red blood cell distribution width. quantitative anisocytosis as a discriminant between iron deficiency and thalassemia minor. relationship of reticulocyte age to polychromasia, shift cells, and shift reticulocytes. piva e, brugnara c, chiandetti l, plebani m. automated reticulocyte counting: state of the art and clinical applications in the evaluation of erythropoiesis. the role of anticoagulation in the measurement of platelet volumes.",0.95
,,,interpretation,ev_cbc_003143_194483d4cc,,,Evidence,504,CBC,,3.47,harrison.pdf,,,"often the splenectomy is done by laparoscopy, which is associated with shorter hospital stays and faster recovery than the open proce- dure; however, concern has emerged that the laparoscopic approach is associated with a higher risk of postoperative portal venous system thrombosis and budd-chiari syndrome. the absence of the spleen has minimal long-term effects on the hematologic profile. in the immediate postsplenectomy period, leu- kocytosis (up to 25,000/μl) and thrombocytosis (up to 1 × 106/μl) may develop, but within 2–3 weeks, blood cell counts and survival of each cell lineage are usually normal. the chronic manifestations of splenectomy are marked variation in size and shape of erythrocytes (anisocytosis, poikilocytosis) and the presence of howell-jolly bodies (nuclear remnants), heinz bodies (denatured hemoglobin), basophilic stippling, and an occasional nucleated erythrocyte in the peripheral blood. when such erythrocyte abnormalities appear in a patient whose spleen has not been removed, one should suspect splenic infiltration by tumor that has interfered with its normal culling and pitting function.",1.0
,,,interpretation,ev_cbc_006188_2ad688d126,,,Evidence,1185,CBC,,3.55,harrison.pdf,,,"cmv infection is associated with poor outcomes after heart trans- plantation. the virus is usually detected 1–2 months after transplan- tation, causes early signs and laboratory abnormalities (usually fever and atypical lymphocytosis or leukopenia and thrombocytopenia) at 2–3 months, and can produce severe disease (e.g., pneumonia) at 3–4 months. an interesting observation is that seropositive recipients usu- ally develop viremia faster than patients whose primary cmv infection is a consequence of transplantation. between 40 and 70% of patients develop symptomatic cmv disease in the form of (1) cmv pneumo- nia, the form most likely to be fatal; (2) cmv esophagitis and gastritis, sometimes accompanied by abdominal pain with or without ulcerations and bleeding; and (3) cmv syndrome, consisting of cmv in the blood- stream along with fever, leukopenia, thrombocytopenia, and hepatic enzyme abnormalities. ganciclovir is efficacious in the treatment of cmv infection; prophylaxis with ganciclovir or possibly with other anti- viral agents may reduce the overall incidence of cmv-related disease.",1.0
,,,interpretation,ev_cbc_008674_1559a071fa,,,Evidence,1684,CBC,,3.49,harrison.pdf,,,"prompt recognition of the disease permits rapid hos- pitalization and expectant management of shock and renal failure. useful clinical laboratory parameters include leukocytosis, which may be leukemoid and is associated with a left shift; thrombocytopenia; and proteinuria. hfrs is readily diagnosed by an igm-capture elisa that is positive at admission or within 24–48 h thereafter. the isolation of orthohantaviruses is difficult, but rt-pcr of a blood clot collected early in the clinical course or of tissues obtained postmortem should give positive results. such testing is usually undertaken if definitive identification of the infecting virus is required. mainstays of therapy are management of shock, reliance on vaso- pressors, modest crystalloid infusion, iv human serum albumin administration, timely renal replacement therapy to prevent overhy- dration that may result in pulmonary edema, and control of hyperten- sion that increases the possibility of intracranial hemorrhage. use of iv ribavirin has reduced lethality and morbidity in severe cases, provided treatment is begun within the first 4 days of illness.",1.0
,,,interpretation,ev_cbc_004762_ad34a2dc4c,,,Evidence,900,CBC,,3.47,harrison.pdf,,,"accordingly, the who diagnostic criteria for cnl are designed to exclude the possibilities of both secondary/reactive neu- trophilia and leukocytosis associated with myeloid malignancies other than cnl (table 110-5): leukocytosis (≥25 × 109/l), ≥80% segmented/ band neutrophils, <10% immature myeloid cells, <1% circulating blasts, and absence of dysgranulopoiesis or monocytosis (monocyte count <1 × 109/l). bm in cnl is hypercellular and displays increased number and percentage of neutrophils with a very high myeloid-to- erythroid ratio and minimal left shift, myeloid dysplasia, or reticulin fibrosis. the recent discovery of csf3r mutations (see above) and their almost invariable association with who-defined cnl has allowed its incorporation in the who diagnostic criteria (table 110-5). in prac- tical terms, the presence of a membrane proximal csf3r mutation in a patient with predominantly neutrophilic granulocytosis should be sufficient for the diagnosis of cnl, regardless of the degree of leuko- cytosis. unfortunately, several exclusionary criteria still need to be met for diagnosing cnl in the absence of csf3r mutations (table 110-5).",1.0
,,,interpretation,ev_cbc_002935_b05133bd30,,,Evidence,466,CBC,,3.38,harrison.pdf,,,"this is called rouleaux formation and reflects abnormal serum protein levels. three types of gran- ulocytes are usually present: neutrophils, eosinophils, and basophils, in decreasing frequency. neutrophils are generally the most abundant white cell. they are round, are 10–14 μm wide, and contain a lobulated nucleus with two to five lobes connected by a thin chromatin thread. bands are immature neutrophils that have not completed nuclear condensation and have a u-shaped nucleus. bands reflect a left shift in neutrophil maturation in an effort to make more cells more rapidly. neutrophils can provide clues to a variety of conditions. vacuolated neutrophils may be a sign of bacterial sepsis. the presence of 1- to 2-μm blue cytoplasmic inclusions, called döhle bodies, can reflect infections, burns, or other inflammatory states. if the neutrophil gran- ules are larger than normal and stain a darker blue, “toxic granulations” are said to be present, and they also suggest a systemic inflammation.",1.0
,,,cause,ev_cbc_000315_63fc52e5b0,,,Evidence,170,CBC,,3.29,clinical_hematology.pdf,,,"lead to myelodysplasia and/or acute myeloid leukemia: g-csf receptor mutation, ras oncogene mutation, or chromosome 7 monosomy. an autosomal dominant form of neutropenia has been reported to result from heterozygous mutations in the gfi1 gene that may affect ela 2.18 recent studies have shown that kostmann syndrome can also be caused by mutations in the hax1,19 g6pc3,20 or other genes. clinically, individuals are infected as early as 2 to 3 months of age by gram-positive or gram-negative bacteria in one or more of the following sites: skin, ears, oral or gastrointestinal mucosa, upper or lower respiratory tract, urinary tract, or blood. blood counts usually reveal neutrophils less than 500/µl (<0.5 × 109/l) with compensatory monocytosis and eosinophilia. bone marrow biopsies show maturation arrest at the promyelocyte-myelocyte level and absent band forms or mature neutrophils. treatment includes supportive therapy and antibiotics for acute infections. g-csf between 3 and 10 µg/ kg increases the neutrophil count and reduces the frequency of infections.",0.95
neutropenia,,,,condition:neutropenia,,neutropenia,Condition,,,,,,,,,
,,,interpretation,ev_cbc_015410_d8b2e668eb,,,Evidence,3294,CBC,,3.02,harrison.pdf,,,"3253 disorders of purine and pyrimidine metabolism chapter 417 table 417-4 inborn errors of pyrimidine metabolism enzyme activity inheritance clinical features laboratory features uridine-5′-monophosphate synthetase deficiency autosomal recessive orotic acid crystalluria; obstructive uropathy, hypochromic megaloblastic anemia orotic aciduria pyrimidine 5′-nucleotidase deficiency autosomal recessive hemolytic anemia basophilic stippling of erythrocytes; high levels of cytidine and uridine ribonucleotides pyrimidine 5′-nucleotidase superactivity uncertain developmental delay, seizures, ataxia, language deficit hypouricosuria thymidine phosphorylase deficiency autosomal recessive mitochondrial neurogastrointestinal encephalopathy hypouricosuria dihydropyrimidine dehydrogenase deficiency autosomal recessive seizures, motor and mental retardation high levels of uracil, thymine, and 5-hydroxymethyluracil and low levels of dihydropyrimidines in urine dihydropyrimidinase deficiency uncertain seizures, mental retardation dihydropyrimidinuria ureidopropionase deficiency uncertain hypotonia, dystonia, developmental delay high urinary excretion of n-carbamyl-β- alanine and n-carbamyl β-aminoisobutyric acid carbamylphosphate + aspartic acid orotic acid utp rna ctp or dctp rna or dna ump udp dump cmp cytidine uracil β-alanine β-aminoisobutyric acid ttp 1 2 3 4 5 5 dna dtmp thymidine thymine uridine 2 figure 417-4 abbreviated scheme of pyrimidine metabolism.",1.0
,,,cause,ev_cbc_016270_0e14ebfa7e,,,Evidence,3536,CBC,,3.02,harrison.pdf,,,"sensation is generally preserved; however, the autonomic nervous system can be affected (patterns 2, 3, and 10; table 446-2). laboratory investigation can reveal a microcytic hypochromic anemia with basophilic stippling of erythrocytes, an elevated serum lead level, and an elevated serum coproporphyrin level. a 24-h urine collection demonstrates elevated levels of lead excretion. the ncs may reveal reduced cmap ampli- tudes, while the snaps are typically normal. the pathogenic basis may be related to abnormal porphyrin metabolism. the most important principle of management is to remove the source of the exposure. chelation therapy with calcium disodium ethylene-diaminetetraacetic acid (edta), british anti-lewisite (bal), and penicillamine also dem- onstrates variable efficacy. ■ ■mercury mercury toxicity may occur as a result of exposure to either organic or inorganic mercurials. mercury poisoning presents with paresthesias in hands and feet that progress proximally and may involve the face and tongue. edx shows features of a primarily axonal sensorimotor polyneuropathy. the primary site of neuromuscular pathology appears to be the dorsal root ganglia.",1.0
bone_mineral_disorder,,,,condition:bone_mineral_disorder,,bone_mineral_disorder,Condition,,,,,,,,,
,,,cause,ev_cbc_012215_133e6f5586,,,Evidence,2568,CBC,,2.97,harrison.pdf,,,"microcytic hypochromic anemia is due to diminished hemoglobin synthesis, since the first enzyme involved in heme biosynthesis (aminolevulinate synthase) requires plp as a cofactor (chap. in some case reports, platelet dysfunction has been reported.",1.0
,,,interpretation,ev_cbc_002965_baa387eeec,,,Evidence,474,CBC,,2.95,harrison.pdf,,,"433 anemia and polycythemia chapter 63 table 63-1 laboratory tests in anemia diagnosis i. morphology am/e ratio, ratio of myeloid to erythroid precursors. an experienced laboratory technician will be able to identify minor populations of large or small cells or hypochromic cells on the peripheral blood film before the red cell indices change. peripheral blood smear the peripheral blood smear provides important information about defects in red cell production (chap. as a complement to the red cell indices, the blood smear also reveals variations in cell size (anisocytosis) and shape (poikilocyto- sis). the degree of anisocytosis usually correlates with increases in the rdw or the range of cell sizes.",1.0
,,,interpretation,ev_cbc_007146_0a86001759,,,Evidence,1354,CBC,,3.54,harrison.pdf,,,"1313 chapter 169 brucellosis consistent with the disease, and supporting laboratory findings. results of routine biochemical assays are usually within normal lim- its, although serum levels of hepatic enzymes and bilirubin may be elevated. peripheral leukocyte counts are usually normal or low, with relative lymphocytosis. throm- bocytopenia and disseminated intravascular coagulation with raised levels of fibrinogen degradation products can develop. the erythrocyte sedimentation rate and c-reactive protein levels are often normal but may be raised. in body fluids such as cerebrospinal fluid (csf) or joint fluid, lym- phocytosis and low glucose levels are the norm. elevated csf levels of adenosine deaminase cannot be used to distinguish tubercular men- ingitis, as they may also be found in brucellosis. biopsied samples of tissues such as lymph node or liver may show noncaseating granulomas without acid/alcohol-fast bacilli. the radiologic features of bony dis- ease develop late and are much more subtle than those of tuberculosis or septic arthritis of other etiologies, with less bone and joint destruc- tion.",1.0
,,,interpretation,ev_cbc_002892_82039e2fba,,,Evidence,453,CBC,,3.44,harrison.pdf,,,"fixed drug eruptions have been associated with pseudoephedrine (frequently a nonpigmenting reaction), phenolphthalein (in laxatives), sulfon- amides, tetracyclines, nsaids, barbiturates, and others. ■ ■immune cutaneous reactions: rare and severe drug-induced hypersensitivity syndrome dihs is a systemic drug reaction also known as dress (drug reaction with eosinophilia and systemic symptoms) syndrome; because eosinophilia is not always present, the term dihs is preferred. clinically, dihs presents with a prodrome of fever and flu-like symptoms for several days, followed by the appearance of a diffuse morbilliform eruption, usually involving the face (fig. facial swelling and hand/foot swelling are often present. systemic manifestations include lymphadenopathy, fever, and leukocytosis (often with eosinophilia or atypical lymphocytosis), as well as hepatitis, nephritis, pneumonitis, myositis, and gastroenteritis, in descending order. distinct patterns of timing of onset and organ involvement may exist. for example, allopurinol classically induces dihs with renal involvement; cardiac and lung involvement are more common with minocycline; gastrointestinal involvement is almost exclusively seen with abacavir; and some medications typically do not induce eosinophilia (abacavir, dapsone, lamotrigine).",1.0
,,,cause,ev_cbc_007965_e04873f6ba,,,Evidence,1537,CBC,,3.35,harrison.pdf,,,"patients have persistent anemia with reticulocytopenia, absent or low levels of b19v igg, high titers of b19v dna in serum, and—in many cases—scattered giant pronormoblasts in bone marrow. transient neutropenia, lymphopenia, and thrombocytopenia (including idiopathic thrombocytopenic purpura) have been observed. studies in papua new guinea, gabon, and ghana, where malaria is endemic, suggest that co-infection with plasmodium and b19v plays a major role in the development of severe anemia in young children. case reports from other countries are rare, but further studies are required to determine whether b19v infection contributes to severe anemia in other malarial regions. hydrops fetalis b19v infection during pregnancy can lead to hydrops fetalis and/or fetal loss. the risk of transplacental fetal infec- tion is ~30%, and the risk of fetal loss (predominantly early in the second trimester) is ~9%.",1.0
lymphopenia,,,,condition:lymphopenia,,lymphopenia,Condition,,,,,,,,,
,,,cause,ev_cbc_000312_8afe8fe21b,,,Evidence,169,CBC,,3.34,clinical_hematology.pdf,,,"large granular lymphocytosis or leukemia (lgl)14 is caused by abnormally expanded t or nk cells infiltrating the bone marrow, spleen, and liver, resulting in variable degrees of pancytopenia and splenomegaly. lgl may be an oligoclonal or monoclonal disease, and in its more aggressive form is considered a form of leukemia. lgl is usually diagnosed in individuals about 60 years old. laboratory evaluation shows multiple abnormalities: 80% of affected individuals will have lymphocytosis >2 × 109/l, 80% with anc <1.5 × 109/l, 50% with hemoglobin <11 g/dl, 20% with platelet <150 × 109/l. lgl can also occur with other autoimmune disorders (rheumatoid arthritis most commonly), myeloid and b cell malignancies, or solid tumors. bone marrow examinations are also variable, but the majority will have hypercellular marrow. no treatment is necessary until there are recurrent infections, severe neutropenia, or symptomatic anemia.15 corticosteroids, methotrexate, cyclophosphamide, and other immunosuppressive therapy have been used with generally good response rates.",0.95
,,,interpretation,ev_cbc_000277_4c74936503,,,Evidence,153,CBC,,3.52,clinical_hematology.pdf,,,"features associated with decreased survival include the following: advanced age hypercatabolic symptoms* anemia (hemoglobin less than 10 g/dl)** leukopenia (white cell count <4,000/mm3)** leukocytosis (white cell count >30,000/mm3) abnormal cytogenetics or the presence of circulating granulocyte precursors or blasts*",0.95
,,,interpretation,ev_cbc_005098_578885ff0c,,,Evidence,962,CBC,,3.4,harrison.pdf,,,"in addition to platelet–monocyte aggregates, the immunomod- ulator, soluble cd40 ligand (cd40l or cd154), also reflects a link between thrombosis and inflammation. the cd40 ligand is a trimeric transmembrane protein of the tumor necrosis factor family and, with its receptor cd40, is an important contributor to the inflammatory process leading both to thrombosis and atherosclerosis. while many immunologic and vascular cells have been found to express cd40 and/ or cd40 ligand, in platelets, cd40 ligand is rapidly translocated to the surface after stimulation and is upregulated in the newly formed thrombus. the surface-expressed cd40 ligand is cleaved from the platelet to generate a soluble fragment (soluble cd40 ligand). links have also been established among platelets, infection, immu- nity, and inflammation.",1.0
,,,interpretation,ev_cbc_007918_249ab0a41c,,,Evidence,1529,CBC,,3.3,harrison.pdf,,,"certain particularly potent suppressants of t-cell immunity (e.g., antithymocyte globulin, alemtu- zumab) are associated with a high rate of clinical cmv syndromes. cmv may itself contribute to further t-lymphocyte hyporesponsive- ness, which often precedes superinfection with other opportunistic pathogens such as bacteria, molds, and pneumocystis. ■ ■pathology cytomegalic cells in vivo (presumed to be infected epithelial cells) are two to four times larger than surrounding cells and often contain an 8- to 10-μm intranuclear inclusion that is eccentrically placed and is surrounded by a clear halo, producing an “owl’s eye” appearance. smaller granular cytoplasmic inclusions are demonstrated occasion- ally. cytomegalic cells are found in a wide variety of organs, including the salivary gland, lung, liver, kidney, intestine, pancreas, adrenal gland, and central nervous system. the cellular inflammatory response to infection consists of plasma cells, lymphocytes, and monocyte-macrophages. granulomatous reac- tions occasionally develop, particularly in the liver. immunopatho- logic reactions may contribute to cmv disease. immune complexes have been detected in infected infants, sometimes in association with cmv-related glomerulopathies.",1.0
,,,cause,ev_cbc_011654_08649c5a64,,,Evidence,2406,CBC,,3.29,harrison.pdf,,,"etiologic factors include conditioning regimens, immunosuppression, infections, and graft-versus-host disease. other risk factors include female sex and human leukocyte antigen (hla)–mismatched donor grafts. hsct- tma usually occurs within the first 100 days of hsct. table 317-1 lists definitions of hsct-tma currently used for clinical trials. diagnosis may be difficult since thrombocytopenia, anemia, and renal binds to the glycolipid surface receptor globotriaosylceramide (gb3), which is richly expressed on cells of the renal microvasculature. upon binding, the toxin enters the cells, inducing inflammatory cytokines (interleukin 8 [il-8], monocyte chemotactic protein 1 [mcp-1], and stromal cell–derived factor 1 [sdf-1]) and chemokine receptors (cxcr4 and cxcr7); this action results in platelet aggregation and the microangiopathic process. certain strains produce a neuraminidase that cleaves the n-acetylneuraminic acid moieties normally covering the thomsen- friedenreich antigen on platelets and endothelial cells. exposure of this cryptic antigen to preformed igm results in severe maha. ahus or complement-mediated hus is the result of complement dysregulation. the complement dysregulation can be congenital or acquired.",1.0
,,,cause,ev_cbc_000317_d7275ade27,,,Evidence,170,CBC,,3.21,clinical_hematology.pdf,,,"cyclic neutropenia the incidence of inherited cyclic neutropenia is not known,17,21 nor is the etiology completely understood, although neutrophil elastase 19p13.3 mutations are associated with this disorder and have been hypothesized to cause neutrophil apoptosis and thus to initiate the cycling. clinically, neutrophil count oscillates predictably between very low or agranulocytic to low normal range; the average cycle length is 21 days with neutropenic duration of 3 to 6 days. the nadir neutrophil count can be zero or as low as 200/µl (0.2 × 109/l). platelet, reticulocyte, lymphocyte, and monocyte counts may also “counter-cycle” between normal to high range, either coinciding or not coinciding with the neutrophil cycles. serial bone marrow examinations will appear normal, when the neutrophil count is high, and show decreased myeloid precursors in the neutropenic phase. individuals with cyclic neutropenia may be asymptomatic during periods of normal neutrophil count, and may have fever, lymphadenopathy, mild skin infections, and/or oral mucosal ulcers during periods of neutropenia. mild skin infections and/or mouth ulcers are treated symptomatically.",0.95
,,,interpretation,ev_cbc_000446_90704a580b,,,Evidence,242,CBC,,3.54,clinical_hematology.pdf,,,"13.2): persisting leukocytosis without any obvious infective cause suggests a myeloproliferative neoplasm, prompting further examination of the blood and bone marrow. morphology and blood count will show either typical features of cml (basophilia being especially significant) or suggest other myeloproliferative neoplasms (high platelet counts, essential thrombocythemia; high red cell count, polycythemia vera; teardrop red cells, myelofibrosis).",0.95
basophilia,,,,condition:basophilia,,basophilia,Condition,,,,,,,,,
,,,cause,ev_cbc_004627_5e770f8dfc,,,Evidence,868,CBC,,2.95,harrison.pdf,,,"this allows many patients to undergo allogeneic sct in a state of minimal cml burden or second chronic phase, which are associated with higher probability of long-term survival. in cml nonlymphoid blastic phase, anti–acute myeloid leukemia chemotherapy combined with tkis results in cr rates of 30–50% and median survival times of 9–12 months (compared with his- torical response rates of 20–30% and median survival times of 3–5 months). in accelerated phase, response to single tkis is significant in conditions where “softer” accelerated phase criteria are consid- ered (e.g., clonal evolution alone, thrombocytosis alone, significant splenomegaly or resistance to hydroxyurea, but without evidence of high blast and basophil percentages). in accelerated phase, combi- nations frequently include tkis with low-intensity chemotherapy such as low-dose cytarabine, decitabine, interferon α, hydroxyurea, or others. other treatments and special therapeutic considerations interferon ` interferon α is considered in combination with tkis (an investigational approach), sometimes after cml failure on tkis, occasionally in patients during pregnancy, or as part of investigational strategies with tkis to eradicate residual molecular disease.",1.0
,,,definition,ev_cbc_000448_a9d89f0d45,,,Evidence,245,CBC,,2.69,clinical_hematology.pdf,,,"figure 13.4 course and clonal evolution of cml. accelerated phase ap is characterized by one or more of the following19 (table 13.1): clonal evolution by a further mutation. patients may acquire new chromosomal abnormalities such as a second ph chromosome. escape of the blood counts from treatment control. leukocytosis, basophilia, thrombocytosis, or thrombocytopenia in a patient previously well controlled with therapy. myelofibrosis with teardrop cells in the blood smear and increased marrow reticulin. chloromas in external soft tissues, the retroperitoneal spaces, paraspinal areas (leading to nerve root compression) and in intramedullary spaces. blastic phase signs and symptoms of acute leukemia: bone pains, weight loss, and b symptoms, increasing numbers of blasts in the blood and marrow.",0.95
,,,interpretation,ev_cbc_004595_333ac62b48,,,Evidence,862,CBC,,2.56,harrison.pdf,,,"high basophil counts may be associated with histamine overproduction causing pruritus, diarrhea, flushing, and even gastrointestinal ulcers. hematologic and marrow findings in untreated cml, leuko- cytosis ranging from 10–500 × 109/l is common. the peripheral blood differential shows left-shifted hematopoiesis with predominance of neutrophils and the presence of bands, myelocytes, metamyelocytes, promyelocytes, and blasts (usually ≤5%).",1.0
,,,cause,ev_cbc_011872_4d0f4d8e56,,,Evidence,2482,CBC,,2.52,harrison.pdf,,,"table 324-1 causes of ulcers not caused by helicobacter pylori and nsaids pathogenesis of non-hp and non-nsaid ulcer disease infection cytomegalovirus herpes simplex virus helicobacter heilmannii drug/toxin bisphosphonates chemotherapy clopidogrel crack cocaine glucocorticoids (when combined with nsaids) mycophenolate mofetil potassium chloride miscellaneous basophilia in myeloproliferative disease duodenal obstruction (e.g., annular pancreas) infiltrating disease ischemia radiation therapy eosinophilic infiltration sarcoidosis crohn’s disease idiopathic hypersecretory state abbreviations: hp, h.",1.0
,,,general,ev_cbc_000444_013bbfdead,,,Evidence,241,CBC,,2.38,clinical_hematology.pdf,,,"blood film blood film is of great diagnostic value, because many of the typical features of cml are unique—a left shift with circulating myeloblasts, myelocytes, metamyelocytes, and band forms. the hallmark of cml is basophilia with basophil counts often exceeding 1 × 109/l. sustained basophilia is almost never encountered outside cml and some cases of mastocytosis. eosinophilia and occasional nucleated red blood cells are also common findings. platelet morphology is usually normal but giant forms can be seen. bone marrow the aspirate shows cellular spicules and the biopsy is hypercellular with almost complete effacement of the fat spaces. there is granulocytic hyperplasia of the neutrophil, eosinophil, and basophil series. megakaryocytes are normal or increased and may show reduced numbers of nuclei. sea-blue histiocytes are commonly seen in cml marrows. fibrosis of the marrow is a feature of accelerated phase cml, as is an increase in blasts over 10%. chromosome analysis the typical karyotype of cml shows the reciprocal translocation t(9;22)(q34;q11) (fig.",0.95
,,,interpretation,ev_cbc_000996_1840e00162,,,Evidence,551,CBC,,3.35,clinical_hematology.pdf,,,"table 26.9 diseases commonly associated with eosinophilia infectious (helminth, protozoa, fungi, hiv, htlv-1) allergic diseases (asthma, atopic dermatitis, allergic rhinitis, urticarias, allergic drug reactions) respiratory tract disorders (hypersensitivity pneumonitis, loeffler’s syndrome, allergic bronchopulmonary aspergillosis, tropical pulmonary eosinophilia) endocrinologic disorders (addison’s disease) gastrointestinal disorders (inflammatory bowel disease, eosinophilic gastroenteritis) cutaneous and subcutaneous disorders (atopic dermatitis, eosinophilic cellulitis, scabies, episodic angioedema with eosinophilia, chronic idiopathic urticaria, recurrent granulomatous dermatitis, eosinophilic fasciitis) immunodeficiency syndromes connective tissue disease (churg-strauss and cutaneous necrotizing eosinophilic vasculitis) neoplastic (lymphomas,t-all,t-cell lymphoproliferative disorders, solid tumors) myeloid leukemias and myeloproliferative disorders (acute eosinophilic leukemia, myelomonocytic leukemia with eosinophilia, chronic myelomonocytic leukemia with eosinophilia, chronic myeloid leukemia) idiopathic hypereosinophilic syndrome cytokines (il-2, gm-csf) l-tryptophan and toxic oil syndrome gm-csf, granulocyte macrophage colony-stimulating factor; hiv, human immunodeficiency virus; htlv-1, human t-cell leukemia virus; il-2, interleukin 2;t-all,t-cell acute lymphoblastic leukemia.",0.95
,,,interpretation,ev_cbc_004845_4d1d980e94,,,Evidence,918,CBC,,3.31,harrison.pdf,,,"it is frequently associated with autoimmune diseases, especially rheumatoid arthritis. its most distinctive symptom is palatal edema, resulting from involve- ment of nodes in waldeyer’s ring, and this may progress to produce respiratory compromise. the diagnosis depends on the demonstra- tion of an anomalous serum m component (often <20 g/l [<2 g/dl]) that reacts with anti-igg but not anti–light chain reagents. the m component is typically present in both serum and urine. most of the paraproteins have been of the γ1 subclass, but other subclasses have been seen. the patients may have thrombocytopenia, eosinophilia, and nondiagnostic bone marrow that may show increased numbers of lymphocytes or plasma cells that do not stain for light chain.",1.0
